,Movie,Distributor,Screen,Sales,Audience,Genre,Rate,Year,Month,Season,이경영,정인기,마동석,배성우,오달수,라미란,조진웅,김기천,한이진,오정세,CJEnM,LotteShop,Next,ShowBox,CJEnt
21,국가대표,(주)쇼박스,580,60896.633308,8487894,드라마,12세이상관람가,2009,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,과속스캔들,롯데쇼핑㈜롯데엔터테인먼트,405,53940.101534,8245523,코미디,12세이상관람가,2008,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,히말라야,씨제이이앤엠(주),1009,60173.583015,7759473,드라마,12세이상관람가,2015,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24,밀정,워너브러더스 코리아(주),1444,61158.644831,7487545,액션,15세이상관람가,2016,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,최종병기 활,롯데쇼핑㈜롯데엔터테인먼트,615,55808.8565,7466976,사극,15세이상관람가,2011,8,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,써니,씨제이이앤엠(주),472,53773.1706,7328820,드라마,15세이상관람가,2011,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,1987,씨제이이앤엠(주),1299,58165.581145,7231638,드라마,15세이상관람가,2017,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
28,베를린,씨제이이앤엠(주),894,52354.931637,7166199,액션,15세이상관람가,2013,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,터널,(주)쇼박스,1105,57510.324417,7118592,드라마,12세이상관람가,2016,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
30,내부자들,(주)쇼박스,1075,56596.58205700001,7071763,범죄,청소년관람불가,2015,11,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
31,인천상륙작전,씨제이이앤엠(주),1049,55101.410303,7049643,전쟁,12세이상관람가,2016,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,럭키,(주)쇼박스,1158,56361.435256,6965706,코미디,15세이상관람가,2016,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,은밀하게 위대하게,(주)쇼박스,1341,48663.939413,6953800,액션,15세이상관람가,2013,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,곡성,이십세기폭스코리아(주),1485,55853.10838200001,6878264,미스터리,15세이상관람가,2016,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,범죄도시,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",1315,56077.813249,6851297,범죄,청소년관람불가,2017,10,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
36,"좋은 놈, 나쁜 놈, 이상한 놈",씨제이엔터테인먼트,825,43768.628939,6686912,서부극(웨스턴),15세이상관람가,2008,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
37,늑대소년,씨제이이앤엠(주),706,46593.1075,6654837,멜로/로맨스,15세이상관람가,2012,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,군함도,씨제이이앤엠(주),2027,50510.565168,6592151,액션,15세이상관람가,2017,7,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,백두산,"씨제이이앤엠(주),(주)덱스터스튜디오",1971,52905.78977,6290502,어드벤처,12세이상관람가,2019,12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,아저씨,씨제이엔터테인먼트,478,47870.792359,6282774,액션,청소년관람불가,2010,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,사도,(주)쇼박스,1210,48842.902501,6246849,사극,12세이상관람가,2015,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,전우치,씨제이엔터테인먼트,606,44605.437017,6136928,액션,12세이상관람가,2009,12,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
43,연평해전,(주)넥스트엔터테인먼트월드(NEW),1013,45560.62033,6043458,드라마,12세이상관람가,2015,6,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
44,청년경찰,롯데쇼핑㈜롯데엔터테인먼트,1102,44241.099316,5636259,액션,15세이상관람가,2017,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,숨바꼭질,(주)넥스트엔터테인먼트월드(NEW),779,39593.0385,5602543,스릴러,15세이상관람가,2013,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,덕혜옹주,롯데쇼핑㈜롯데엔터테인먼트,964,44344.141109,5593551,사극,12세이상관람가,2016,8,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
47,더 테러 라이브,롯데쇼핑㈜롯데엔터테인먼트,743,39866.712881,5583596,범죄,15세이상관람가,2013,7,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,의형제,(주)쇼박스,572,40800.867602,5507106,드라마,15세이상관람가,2010,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
49,감시자들,(주)넥스트엔터테인먼트월드(NEW),949,39298.005179,5496547,범죄,15세이상관람가,2013,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,검은 사제들,씨제이이앤엠(주),1088,42395.347092,5440945,미스터리,15세이상관람가,2015,11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
