,Movie,Distributor,Screen,Sales,Audience,Genre,Rate,Year,Month,Season,이경영,정인기,마동석,배성우,오달수,라미란,조진웅,김기천,한이진,오정세,CJEnM,LotteShop,Next,ShowBox,CJEnt
159,악의 연대기,씨제이이앤엠(주),776,17360.123332,2192243,스릴러,15세이상관람가,2015,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
160,강남 1970,(주)쇼박스,841,17717.971499,2192172,액션,청소년관람불가,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
161,황해,"(주)쇼박스,이십세기폭스코리아(주)",618,16765.970362,2167426,스릴러,청소년관람불가,2010,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
162,초능력자,(주)넥스트엔터테인먼트월드(NEW),622,15618.440958,2164805,SF,15세이상관람가,2010,11,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
163,내 사랑 내 곁에,씨제이엔터테인먼트,474,15764.312409,2160265,드라마,12세이상관람가,2009,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,신의 한 수: 귀수편,씨제이이앤엠(주),1246,18390.95505,2146764,범죄,15세이상관람가,2019,11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
165,마이 웨이,"에스케이플래닛(주),씨제이이앤엠(주)",645,15994.803,2142622,전쟁,15세이상관람가,2011,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,나의 사랑 나의 신부,씨네그루(주)다우기술,629,16592.056305000002,2135614,멜로/로맨스,15세이상관람가,2014,10,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
167,굿바이 싱글,(주)쇼박스,841,16912.706195,2108273,코미디,15세이상관람가,2016,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
168,몽타주,(주)넥스트엔터테인먼트월드(NEW),540,15000.7225,2095375,스릴러,15세이상관람가,2013,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
169,명당,메가박스중앙(주)플러스엠,1117,17900.775524,2087474,사극,12세이상관람가,2018,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,내부자들: 디 오리지널,(주)쇼박스,838,16973.885275,2083999,범죄,청소년관람불가,2015,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
171,쩨쩨한 로맨스,롯데쇼핑㈜롯데엔터테인먼트,463,15901.620661,2080574,코미디,청소년관람불가,2010,12,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
172,눈에는 눈 이에는 이,롯데쇼핑㈜롯데엔터테인먼트,445,13414.0235,2058764,범죄,15세이상관람가,2008,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
173,뷰티 인사이드,(주)넥스트엔터테인먼트월드(NEW),648,16152.717131,2053947,판타지,12세이상관람가,2015,8,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
174,봉이 김선달,씨제이이앤엠(주),942,16172.133642,2044564,사극,12세이상관람가,2016,7,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
175,남자가 사랑할 때,(주)넥스트엔터테인먼트월드(NEW),531,14510.2223,1979311,멜로/로맨스,15세이상관람가,2014,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
176,협상,씨제이이앤엠(주),919,17032.133166,1967721,범죄,15세이상관람가,2018,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
177,애자,(주)시너지하우스 (시너지),262,13785.879438999998,1922634,드라마,15세이상관람가,2009,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,그림자 살인,씨제이엔터테인먼트,387,12805.808556,1914779,미스터리,15세이상관람가,2009,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,내안의 그놈,"(주)메리크리스마스,TCO(주)더콘텐츠온",1041,16293.580567,1901684,판타지,15세이상관람가,2019,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180,오늘의 연애,씨제이이앤엠(주),709,14924.654487,1891993,멜로/로맨스,15세이상관람가,2015,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
181,글러브,씨제이엔터테인먼트,605,13757.5745,1888100,드라마,전체관람가,2011,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
182,해결사,"(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브",524,14063.913437,1873327,액션,15세이상관람가,2010,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
183,아이들...,롯데쇼핑㈜롯데엔터테인먼트,504,13562.6085,1864408,범죄,15세이상관람가,2011,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
184,마약왕,(주)쇼박스,1297,16222.446942,1864076,범죄,청소년관람불가,2018,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
185,코리아,씨제이이앤엠(주),537,13334.7625,1857392,드라마,12세이상관람가,2012,5,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
186,노무현입니다,"CGV아트하우스,영화사 풀",775,14554.935612,1854867,다큐멘터리,12세이상관람가,2017,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,집으로 가는 길,씨제이이앤엠(주),740,13048.519745,1854625,드라마,15세이상관람가,2013,12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
188,악마를 보았다,(주)쇼박스,494,14148.937025,1848418,스릴러,청소년관람불가,2010,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,뺑반,(주)쇼박스,1285,15222.811848,1826714,범죄,15세이상관람가,2019,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
190,변신,(주)에이스메이커무비웍스,975,15417.922925,1804112,공포(호러),15세이상관람가,2019,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
191,차우,롯데쇼핑㈜롯데엔터테인먼트,397,12676.951144,1799356,액션,12세이상관람가,2009,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
192,공범,씨제이이앤엠(주),611,12333.110882,1766285,스릴러,15세이상관람가,2013,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
193,대호,(주)넥스트엔터테인먼트월드(NEW),892,13489.904632,1762742,사극,12세이상관람가,2015,12,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
194,전설의 주먹,씨제이이앤엠(주),724,12732.2365,1737253,드라마,청소년관람불가,2013,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
195,제보자,메가박스중앙(주)플러스엠,676,13371.522302,1735640,드라마,12세이상관람가,2014,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,러브픽션,(주)넥스트엔터테인먼트월드(NEW),617,13200.4125,1726202,멜로/로맨스,15세이상관람가,2012,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
197,평양성,롯데쇼핑㈜롯데엔터테인먼트,451,12684.5305,1717566,전쟁,12세이상관람가,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
198,파파로티,(주)쇼박스,552,11808.286,1713891,드라마,15세이상관람가,2013,3,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
199,쎄시봉,씨제이이앤엠(주),829,13509.581911,1707487,멜로/로맨스,15세이상관람가,2015,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200,님은 먼 곳에,(주)쇼박스,499,11211.235,1706576,드라마,15세이상관람가,2008,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201,불꽃처럼 나비처럼,(주)쇼박스,437,12447.633504,1690294,멜로/로맨스,15세이상관람가,2009,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202,피끓는 청춘,롯데쇼핑㈜롯데엔터테인먼트,679,11688.382888,1676040,코미디,15세이상관람가,2014,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
203,PMC: 더 벙커,씨제이이앤엠(주),1081,14024.838424,1671548,액션,15세이상관람가,2018,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
204,공모자들,"씨너스엔터테인먼트(주),타임스토리그룹(주)",496,12240.9645,1646142,범죄,청소년관람불가,2012,8,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
205,임금님의 사건수첩,씨제이이앤엠(주),1054,12648.793723,1634403,코미디,12세이상관람가,2017,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
206,고死 : 피의 중간고사,에스케이텔레콤(주),270,10299.976,1634051,공포(호러),15세이상관람가,2008,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,걸캅스,씨제이이앤엠(주),973,13772.604134,1625037,코미디,15세이상관람가,2019,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
208,무방비도시,씨제이엔터테인먼트,336,10591.349944,1613728,범죄,15세이상관람가,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
209,우아한 거짓말,CGV아트하우스,555,11694.0113,1613392,드라마,12세이상관람가,2014,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
210,하울링,씨제이이앤엠(주),550,11765.2935,1612554,범죄,15세이상관람가,2012,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
211,두근두근 내 인생,씨제이이앤엠(주),629,12191.623034,1611519,드라마,12세이상관람가,2014,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
212,사자,롯데컬처웍스(주)롯데엔터테인먼트,1405,12917.306145,1609737,미스터리,15세이상관람가,2019,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,창궐,(주)넥스트엔터테인먼트월드(NEW),1351,13275.77249,1599290,사극,15세이상관람가,2018,10,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
214,더 폰,(주)넥스트엔터테인먼트월드(NEW),794,12309.164568,1593694,스릴러,15세이상관람가,2015,10,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
215,성난황소,(주)쇼박스,1010,13236.490737,1593386,범죄,15세이상관람가,2018,11,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
216,무적자,씨제이엔터테인먼트,416,11816.488677,1571432,드라마,15세이상관람가,2010,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,원스어폰어타임,(유)씨에이치엔터테인먼트,315,10180.143111,1562486,액션,12세이상관람가,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,용의자X,씨제이이앤엠(주),553,11241.013,1552055,미스터리,15세이상관람가,2012,10,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
219,도어락,메가박스중앙(주)플러스엠,954,12694.612486,1545442,스릴러,15세이상관람가,2018,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,유감스러운 도시,씨제이엔터테인먼트,375,10300.187478,1534911,코미디,15세이상관람가,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
221,작전,(주)쇼박스,393,10198.304795,1534407,범죄,15세이상관람가,2009,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
222,퍼펙트 게임,롯데쇼핑㈜롯데엔터테인먼트,413,11220.4085,1507084,드라마,12세이상관람가,2011,12,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
223,리틀 포레스트,메가박스중앙(주)플러스엠,884,11924.818185,1505560,드라마,전체관람가,2018,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,더 게임,씨제이이엔엠㈜,339,9869.346557,1496214,스릴러,15세이상관람가,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,차이나타운,CGV아트하우스,551,11989.400678,1472006,범죄,청소년관람불가,2015,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,스윙키즈,(주)넥스트엔터테인먼트월드(NEW),984,12077.312892,1470753,드라마,12세이상관람가,2018,12,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
227,부라더,메가박스중앙(주)플러스엠,889,11590.908298,1468301,코미디,12세이상관람가,2017,11,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
228,해무(海霧),(주)넥스트엔터테인먼트월드(NEW),584,11631.310219,1466830,드라마,청소년관람불가,2014,8,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
229,나의 특별한 형제,(주)넥스트엔터테인먼트월드(NEW),936,11835.049574,1441813,드라마,12세이상관람가,2019,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
230,탐정 홍길동: 사라진 마을,씨제이이앤엠(주),764,11483.686845,1426873,드라마,15세이상관람가,2016,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
231,런닝맨,이십세기폭스코리아(주),567,10011.2005,1416053,액션,15세이상관람가,2013,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
232,구르믈 버서난 달처럼,에스케이텔레콤(주),509,10408.565262,1407681,사극,15세이상관람가,2010,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,기억의 밤,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",751,10652.34666,1387599,미스터리,15세이상관람가,2017,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,골든슬럼버,씨제이이앤엠(주),833,11412.768798,1387508,범죄,15세이상관람가,2018,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
235,브이아이피,워너브러더스 코리아(주),996,10956.621835,1373316,범죄,청소년관람불가,2017,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,특별시민,(주)쇼박스,1154,10494.768945,1362634,드라마,15세이상관람가,2017,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
237,차형사,씨제이이앤엠(주),433,9752.555296,1346754,코미디,15세이상관람가,2012,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
238,궁합,씨제이이앤엠(주),966,10478.875438,1340117,코미디,12세이상관람가,2018,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
239,미스터 고,(주)쇼박스,840,9337.99,1328890,코미디,12세이상관람가,2013,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
240,청담보살,(주)넥스트엔터테인먼트월드(NEW),404,9687.687439,1321005,멜로/로맨스,15세이상관람가,2009,11,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
241,사라진 밤,(주)키다리이엔티,925,10686.397316,1314274,스릴러,15세이상관람가,2018,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,간첩,롯데쇼핑㈜롯데엔터테인먼트,576,9316.5485,1310895,드라마,15세이상관람가,2012,9,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
243,장산범,(주)넥스트엔터테인먼트월드(NEW),711,10332.117083,1305145,미스터리,15세이상관람가,2017,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
244,킹콩을 들다,(주)넥스트엔터테인먼트월드(NEW),411,8597.263165999999,1277800,드라마,전체관람가,2009,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
245,간기남,(주)쇼박스,356,9356.4045,1246185,코미디,청소년관람불가,2012,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
246,유열의 음악앨범,CGV아트하우스,1078,10233.45504,1245532,멜로/로맨스,12세이상관람가,2019,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,육혈포 강도단,롯데쇼핑㈜롯데엔터테인먼트,319,8784.927671,1233582,코미디,15세이상관람가,2010,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
248,심야의 F.M.,롯데쇼핑㈜롯데엔터테인먼트,422,9328.562568,1228673,스릴러,청소년관람불가,2010,10,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
249,특별수사: 사형수의 편지,(주)넥스트엔터테인먼트월드(NEW),691,9792.082065,1225142,범죄,15세이상관람가,2016,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
250,찌라시: 위험한 소문,씨제이이앤엠(주),560,9111.648087,1221420,범죄,15세이상관람가,2014,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
251,결혼전야,씨너스엔터테인먼트(주),524,8431.504719,1212270,멜로/로맨스,15세이상관람가,2013,11,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
252,악녀,(주)넥스트엔터테인먼트월드(NEW),685,9730.720144,1206917,액션,청소년관람불가,2017,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
253,인사동 스캔들,에스케이텔레콤(주),314,7900.084842,1206101,드라마,15세이상관람가,2009,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,깡철이,씨제이이앤엠(주),707,8534.777462,1204666,드라마,15세이상관람가,2013,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
255,시간이탈자,씨제이이앤엠(주),733,9729.882195,1202058,스릴러,15세이상관람가,2016,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
256,R2B: 리턴투베이스,씨제이이앤엠(주),539,8600.489371,1201640,액션,15세이상관람가,2012,8,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
257,해빙,롯데쇼핑㈜롯데엔터테인먼트,915,9879.737822,1201576,스릴러,15세이상관람가,2017,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
258,더 웹툰: 예고살인,씨제이이앤엠(주),541,8534.32207,1201033,공포(호러),15세이상관람가,2013,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
259,생일,(주)넥스트엔터테인먼트월드(NEW),862,9786.57584,1186283,드라마,전체관람가,2019,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
260,바람 바람 바람,(주)넥스트엔터테인먼트월드(NEW),985,9702.206675,1183959,코미디,청소년관람불가,2018,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
261,빅매치,(주)넥스트엔터테인먼트월드(NEW),627,8952.096578,1177438,액션,15세이상관람가,2014,11,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
262,"힘을 내요, 미스터 리",(주)넥스트엔터테인먼트월드(NEW),990,9887.863906,1176076,코미디,12세이상관람가,2019,9,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
263,서양 골동 양과자점 앤티크,"오퍼스픽쳐스(유),(주)쇼박스",451,7367.880833,1173310,드라마,15세이상관람가,2008,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,동주,메가박스중앙(주)플러스엠,499,8864.695589,1168427,드라마,12세이상관람가,2016,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,돈의 맛,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",643,8776.870611,1165488,드라마,청소년관람불가,2012,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,장수상회,씨제이이앤엠(주),688,8707.389643,1160935,멜로/로맨스,12세이상관람가,2015,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
267,가문의 영광5 - 가문의 귀환,롯데쇼핑㈜롯데엔터테인먼트,447,8330.3425,1160021,코미디,15세이상관람가,2012,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
268,슬로우 비디오,이십세기폭스코리아(주),618,8840.530219,1159787,드라마,12세이상관람가,2014,10,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
269,미씽: 사라진 여자,메가박스중앙(주)플러스엠,790,8881.616256,1153109,미스터리,15세이상관람가,2016,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,퍼펙트맨,(주)쇼박스,894,9604.13975,1144894,코미디,15세이상관람가,2019,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
271,용서는 없다,(주)시네마서비스,334,8737.627361,1144238,범죄,청소년관람불가,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,장사리 : 잊혀진 영웅들,워너브러더스 코리아(주),1090,8997.92105,1140876,전쟁,12세이상관람가,2019,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,고령화 가족,씨제이이앤엠(주),583,8159.482153,1139250,드라마,15세이상관람가,2013,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
274,김종욱 찾기,씨제이엔터테인먼트,442,8271.660983,1130638,멜로/로맨스,12세이상관람가,2010,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
275,하루,CGV아트하우스,781,9068.009842,1129018,스릴러,15세이상관람가,2017,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,챔피언,워너브러더스 코리아(주),874,9441.06423,1125319,드라마,12세이상관람가,2018,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
277,성난 변호사,씨제이이앤엠(주),607,8697.174039,1124918,범죄,15세이상관람가,2015,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
278,"당신, 거기 있어줄래요",롯데쇼핑㈜롯데엔터테인먼트,767,8999.085248000001,1124815,판타지,12세이상관람가,2016,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
279,6년째 연애중,(주)스튜디오210,327,7460.438,1123294,멜로/로맨스,15세이상관람가,2008,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,특수본,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",471,8096.0525,1118258,액션,15세이상관람가,2011,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,회사원,(주)쇼박스,549,8321.175,1110523,액션,청소년관람불가,2012,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
282,간신,롯데쇼핑㈜롯데엔터테인먼트,697,8946.84291,1110246,사극,청소년관람불가,2015,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
283,베스트셀러,(주)시너지하우스 (시너지),317,8110.824681,1099665,미스터리,15세이상관람가,2010,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
284,롱 리브 더 킹: 목포 영웅,"메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다",965,9218.26291,1092738,액션,15세이상관람가,2019,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
285,오빠생각,(주)넥스트엔터테인먼트월드(NEW),855,8058.857287000002,1069436,드라마,12세이상관람가,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
286,"날, 보러와요",메가박스중앙(주)플러스엠,683,8821.335062999999,1061412,미스터리,청소년관람불가,2016,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,수상한 고객들,씨제이이앤엠(주),411,7953.428000000001,1059350,코미디,15세이상관람가,2011,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
288,시크릿,씨제이엔터테인먼트,397,7979.5916069999985,1046787,스릴러,청소년관람불가,2009,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
289,그놈이다,CGV아트하우스,681,8098.811151999998,1046313,스릴러,15세이상관람가,2015,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,동창생,(주)쇼박스,660,6983.395126,1044522,액션,15세이상관람가,2013,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
291,점박이:한반도의 공룡3D,씨제이이앤엠(주),457,9621.468,1040636,애니메이션,전체관람가,2012,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
292,파괴된 사나이,(주)시너지하우스 (시너지),190,7820.538614,1030285,드라마,청소년관람불가,2010,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,오직 그대만,(주)쇼박스,435,7591.0085,1027622,멜로/로맨스,15세이상관람가,2011,10,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
294,심장이 뛴다,롯데쇼핑㈜롯데엔터테인먼트,445,7538.0835,1006947,드라마,15세이상관람가,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
295,염력,(주)넥스트엔터테인먼트월드(NEW),1099,7484.644112000001,990104,드라마,15세이상관람가,2018,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
296,방황하는 칼날,씨제이이앤엠(주),594,7806.3778,987420,범죄,청소년관람불가,2014,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
297,시체가 돌아왔다,씨제이이앤엠(주),435,7357.623,986547,범죄,15세이상관람가,2012,3,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
298,미쓰 와이프,메가박스중앙(주)플러스엠,437,7357.162869,984265,코미디,15세이상관람가,2015,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
299,원더풀 라디오,(주)쇼박스,474,7193.596,977470,드라마,15세이상관람가,2012,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
300,돈 크라이 마미,(주)에스비에스콘텐츠허브,444,6808.882099,975462,스릴러,15세이상관람가,2012,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,바보,씨제이엔터테인먼트,263,6301.818833,974554,드라마,12세이상관람가,2008,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
302,"고산자, 대동여지도",씨제이이앤엠(주),765,7777.473258,971194,사극,전체관람가,2016,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
303,우리는 형제입니다,(주)쇼박스,566,7263.255399,970373,코미디,12세이상관람가,2014,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
304,천문: 하늘에 묻는다,롯데컬처웍스(주)롯데엔터테인먼트,1198,7808.24295,965624,사극,12세이상관람가,2019,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,전국노래자랑,롯데쇼핑㈜롯데엔터테인먼트,581,6606.589,963634,코미디,12세이상관람가,2013,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
306,나랏말싸미,메가박스중앙(주)플러스엠,1211,7871.240823,958775,사극,전체관람가,2019,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,허삼관,(주)넥스트엔터테인먼트월드(NEW),621,7405.415569,955175,드라마,12세이상관람가,2015,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
308,불한당: 나쁜 놈들의 세상,씨제이이앤엠(주),860,7654.331125,951797,범죄,청소년관람불가,2017,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
309,GP 506,(주)쇼박스,355,6316.842,945185,공포(호러),청소년관람불가,2008,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
310,평행이론,씨제이엔터테인먼트,272,6905.140883,937029,스릴러,15세이상관람가,2010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
311,뽀로로 극장판 슈퍼썰매 대모험,"(주)넥스트엔터테인먼트월드(NEW),씨제이이앤엠(주)",459,6819.9795,929985,애니메이션,전체관람가,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,크로싱,(주)벤티지홀딩스,303,5657.365667,907255,드라마,12세이상관람가,2008,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,더 킹,(주)넥스트엔터테인먼트월드(NEW),1310,7266.896026,905885,범죄,15세이상관람가,2017,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
314,점쟁이들,(주)넥스트엔터테인먼트월드(NEW),479,6345.2935,900054,코미디,15세이상관람가,2012,10,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
315,인랑,워너브러더스 코리아(주),1085,6994.748173000001,897548,SF,15세이상관람가,2018,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,극장판 헬로카봇 : 백악기 시대,(주)넥스트엔터테인먼트월드(NEW),758,6542.6195,874967,애니메이션,전체관람가,2018,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
