,순번,영화명,감독,제작사,배급사,개봉일,영화유형,영화형태,국적,전국,전국.1,전국.2,서울,서울.1,장르,등급,영화구분
336,337.0,통증,곽경택,"(주)트로피엔터테인먼트,(주)영화사축제,(주)미스터로맨스",롯데쇼핑㈜롯데엔터테인먼트,2011-09-07,개봉영화,장편,한국,317,"5,207,167,000","693,101","1,461,450,500","184,530",멜로/로맨스,15세이상관람가,일반영화
337,338.0,신비아파트: 금빛 도깨비와 비밀의 동굴,김병갑,"씨제이이앤엠(주),(주)칵테일 미디어",씨제이이앤엠(주),2018-07-25,개봉영화,장편,한국,762,"5,001,247,250","678,091","699,258,600","91,723",애니메이션,전체관람가,일반영화
338,339.0,신비아파트 극장판 하늘도깨비 대 요르문간드,변영규,씨제이이앤엠(주),씨제이이앤엠(주),2019-12-19,개봉영화,장편,한국,841,"5,299,942,440","672,122","685,418,380","82,269",애니메이션,전체관람가,일반영화
339,340.0,고양이: 죽음을 보는 두 개의 눈,변승욱,파인하우스필름(주),(주)넥스트엔터테인먼트월드(NEW),2011-07-07,개봉영화,장편,한국,304,"4,767,098,000","670,295","1,119,188,000","149,463",공포(호러),15세이상관람가,일반영화
340,341.0,실종,김성홍,"활동사진,모션픽쳐",(주)시너지하우스 (시너지),2009-03-19,개봉영화,장편,한국,257,"4,415,413,589","654,587","1,084,313,000","150,809",범죄,청소년관람불가,일반영화
341,342.0,열정같은소리하고있네,정기훈,반짝반짝영화사(주),(주)넥스트엔터테인먼트월드(NEW),2015-11-25,개봉영화,장편,한국,566,"4,761,399,902","654,407","1,351,744,002","177,071",드라마,15세이상관람가,일반영화
342,343.0,그날의 분위기,조규장,영화사 문(주),(주)쇼박스,2016-01-14,개봉영화,장편,한국,592,"5,142,899,612","652,453","1,404,786,825","171,304",멜로/로맨스,15세이상관람가,일반영화
343,344.0,여고괴담 5,이종용,(주)씨네이천,롯데쇼핑㈜롯데엔터테인먼트,2009-06-18,개봉영화,장편,한국,318,"4,205,826,795","652,097","1,087,081,000","157,643",공포(호러),15세이상관람가,일반영화
344,345.0,아빠는 딸,김형협,영화사김치(주),메가박스중앙(주)플러스엠,2017-04-12,개봉영화,장편,한국,520,"5,047,634,395","646,412","1,154,175,195","141,570",코미디,12세이상관람가,일반영화
345,346.0,사냥,이우철,(주)빅스톤픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2016-06-29,개봉영화,장편,한국,696,"4,912,658,515","645,922","1,275,511,815","162,472",액션,15세이상관람가,일반영화
346,347.0,나를 찾아줘,김승우,(주)26컴퍼니,워너브러더스 코리아(주),2019-11-27,개봉영화,장편,한국,875,"5,117,014,620","645,082","1,211,838,780","146,847",스릴러,15세이상관람가,일반영화
347,348.0,광대들: 풍문조작단,김주호,(주)영화사심플렉스,워너브러더스 코리아(주),2019-08-21,개봉영화,장편,한국,806,"5,226,776,088","637,021","1,097,148,968","129,821",사극,12세이상관람가,일반영화
348,349.0,널 기다리며,모홍진,"(주)영화사수작,모티브픽쳐스(주),(주)디씨지플러스",(주)넥스트엔터테인먼트월드(NEW),2016-03-10,개봉영화,장편,한국,551,"5,232,611,336","634,953","1,188,915,987","138,898",스릴러,청소년관람불가,일반영화
349,350.0,플랜맨,성시흡,(주)영화사일취월장,롯데쇼핑㈜롯데엔터테인먼트,2014-01-09,개봉영화,장편,한국,458,"4,528,561,558","632,299","1,107,270,058","147,025",드라마,15세이상관람가,일반영화
350,351.0,핸드폰,김한민,"(주)씨네토리,(주)한컴",에스케이텔레콤(주),2009-02-19,개봉영화,장편,한국,356,"4,271,780,582","630,049","1,207,936,000","169,335",스릴러,청소년관람불가,일반영화
351,352.0,조선마술사,김대승,위더스필름(주),롯데쇼핑㈜롯데엔터테인먼트,2015-12-30,개봉영화,장편,한국,608,"4,650,016,527","628,576","1,107,370,838","144,953",드라마,12세이상관람가,일반영화
352,353.0,홍길동의 후예,정용기,"시오필름(주),어나더픽쳐스(주)",에스케이텔레콤(주),2009-11-26,개봉영화,장편,한국,380,"4,293,061,087","616,654","1,152,829,000","159,661",액션,12세이상관람가,일반영화
353,354.0,특종: 량첸살인기,노덕,"(주)우주필름,(주)뱅가드스튜디오",롯데쇼핑㈜롯데엔터테인먼트,2015-10-22,개봉영화,장편,한국,776,"4,754,763,118","616,481","1,319,649,718","165,767",스릴러,15세이상관람가,일반영화
354,355.0,미쓰GO,박철관,영화사 도로시(주),(주)넥스트엔터테인먼트월드(NEW),2012-06-21,개봉영화,장편,한국,440,"4,441,859,000","611,685","1,194,708,500","155,409",액션,15세이상관람가,일반영화
355,356.0,서부전선,천성일,(주)하리마오픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2015-09-24,개봉영화,장편,한국,509,"4,751,661,400","609,063","1,045,890,400","128,610",전쟁,12세이상관람가,일반영화
356,357.0,이층의 악당,손재곤,(유)이층의 악당 문화산업전문회사,(주)싸이더스,2010-11-24,개봉영화,장편,한국,384,"4,332,815,318","605,224","1,469,062,000","193,993",코미디,15세이상관람가,일반영화
357,358.0,반가운 살인자,김동욱,(주)영화사소풍,롯데쇼핑㈜롯데엔터테인먼트,2010-04-08,개봉영화,장편,한국,261,"4,347,073,175","599,176","1,236,642,000","163,606",코미디,15세이상관람가,일반영화
358,359.0,우는 남자,이정범,다이스필름(주),씨제이이앤엠(주),2014-06-04,개봉영화,장편,한국,508,"4,883,740,800","599,050","1,416,378,800","167,680",액션,청소년관람불가,일반영화
359,360.0,황제를 위하여,박상준,오퍼스픽쳐스(유),유나이티드픽처스(주),2014-06-11,개봉영화,장편,한국,423,"4,751,881,771","592,041","970,871,571","115,829",액션,청소년관람불가,일반영화
360,361.0,패션왕,오기환,"주식회사 와이랩,(주)노마드필름",(주)넥스트엔터테인먼트월드(NEW),2014-11-06,개봉영화,장편,한국,523,"4,338,223,379","591,125","991,436,179","128,375",코미디,15세이상관람가,일반영화
361,362.0,극장판 헬로카봇 : 달나라를 구해줘!,"최신규,김진철",(주)초이락컨텐츠팩토리,롯데컬처웍스(주)롯데엔터테인먼트,2019-09-04,개봉영화,장편,한국,889,"4,553,434,150","587,818","687,159,820","84,670",애니메이션,전체관람가,일반영화
362,363.0,퀴즈왕,장진,소란플레이먼트(주),(주)시네마서비스,2010-09-16,개봉영화,장편,한국,323,"4,258,992,759","583,183","1,249,453,000","164,631",코미디,15세이상관람가,일반영화
363,364.0,극장판 헬로카봇: 옴파로스 섬의 비밀,"최신규,김진철",(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),2019-01-31,개봉영화,장편,한국,752,"4,485,905,140","575,353","724,293,890","88,888",애니메이션,전체관람가,일반영화
364,365.0,파파,한지승,상상필름(주),롯데쇼핑㈜롯데엔터테인먼트,2012-02-01,개봉영화,장편,한국,414,"3,866,065,500","562,156","1,001,172,500","140,728",가족,12세이상관람가,일반영화
365,366.0,양자물리학,이성태,(주)엠씨엠씨,(주)메리크리스마스,2019-09-25,개봉영화,장편,한국,799,"4,526,478,380","553,879","1,152,440,160","137,943",범죄,15세이상관람가,일반영화
366,367.0,점박이 한반도의 공룡2 : 새로운 낙원,한상호,(주)드림써치C&C,(주)넥스트엔터테인먼트월드(NEW),2018-12-25,개봉영화,장편,한국,672,"4,293,073,300","550,059","692,247,500","85,793",애니메이션,전체관람가,일반영화
367,368.0,너는 펫,김병곤,컴어나더(주),롯데쇼핑㈜롯데엔터테인먼트,2011-11-10,개봉영화,장편,한국,341,"3,798,398,000","540,972","1,097,757,500","148,666",멜로/로맨스,12세이상관람가,일반영화
368,369.0,사이코메트리,권호영,"(주)엠픽처스,(주)파워이엔티,㈜게이트픽쳐스",씨제이이앤엠(주),2013-03-07,개봉영화,장편,한국,429,"3,964,769,129","531,953","1,133,052,129","145,312",미스터리,청소년관람불가,일반영화
369,370.0,버닝,이창동,"파인하우스필름(주),나우필름(주)",CGV아트하우스,2018-05-17,개봉영화,장편,한국,739,"4,714,345,098","528,153","1,765,445,398","194,098",미스터리,청소년관람불가,일반영화
370,371.0,챔프,이환경,"(주)씨엘엔터테인먼트,(주)대명문화공장,(주)예인문화,(주)화인웍스",(주)쇼박스,2011-09-07,개봉영화,장편,한국,288,"3,805,721,000","528,149","962,576,500","126,060",드라마,12세이상관람가,일반영화
371,372.0,7년의 밤,추창민,"(주)바른손,씨제이이앤엠(주)",씨제이이앤엠(주),2018-03-28,개봉영화,장편,한국,872,"3,969,337,524","528,007","1,046,793,224","133,744",스릴러,15세이상관람가,일반영화
372,373.0,몬스터,황인호,상상필름(주),롯데쇼핑㈜롯데엔터테인먼트,2014-03-13,개봉영화,장편,한국,527,"4,136,202,515","526,282","1,110,307,115","135,839",스릴러,청소년관람불가,일반영화
373,374.0,헬머니,신한솔,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",(주)넥스트엔터테인먼트월드(NEW),2015-03-05,개봉영화,장편,한국,422,"4,096,141,972","519,983","799,976,772","98,593",코미디,청소년관람불가,일반영화
374,375.0,가려진 시간,엄태화,(주)바른손이앤에이,(주)쇼박스,2016-11-16,개봉영화,장편,한국,884,"3,946,462,400","510,878","1,183,297,400","144,193",드라마,12세이상관람가,일반영화
375,376.0,남자사용설명서,이원석,(주)영화사소풍,(주)쇼박스,2013-02-14,개봉영화,장편,한국,372,"3,602,049,257","507,257","1,016,134,757","136,010",코미디,15세이상관람가,일반영화
376,377.0,아부의 왕,정승구,(주)황금주전자,롯데쇼핑㈜롯데엔터테인먼트,2012-06-21,개봉영화,장편,한국,428,"3,511,102,500","497,880","972,557,500","131,766",코미디,15세이상관람가,일반영화
377,378.0,캐치미,이현종,"(주)소넷엔터테인먼트,화이브라더스",롯데쇼핑㈜롯데엔터테인먼트,2013-12-18,개봉영화,장편,한국,517,"3,387,483,000","492,773","956,243,500","131,932",코미디,12세이상관람가,일반영화
