,Movie,Producer,Distributor,Screen,Sales,Audience,Genre,Rate,Year,Month,Season,genre_encoded,log_sales,log_audience,log_screen
15,검사외전,이일형,(주)쇼박스,1812,77252755264,9699092,범죄,1,2016,2,1,10,25.07,16.088,7.503
16,엑시트,이상근,씨제이이앤엠(주),1660,79232012162,9426011,코미디,0,2019,7,3,18,25.096,16.059,7.415
17,관상,한재림,(주)쇼박스,1190,66005451500,9134586,사극,1,2013,9,4,11,24.913,16.028,7.083
18,설국열차,봉준호,씨제이이앤엠(주),1128,64016480000,8914845,SF,1,2013,8,3,0,24.882,16.003,7.029
19,수상한 그녀,황동혁,씨제이이앤엠(주),692,62696639249,8656397,드라마,1,2014,1,1,6,24.862,15.974,6.541
20,해적: 바다로 간 산적,이석훈,롯데쇼핑㈜롯데엔터테인먼트,838,66240631706,8646758,어드벤처,0,2014,8,3,16,24.917,15.973,6.732
21,국가대표,김용화,(주)쇼박스,580,60896633308,8487894,드라마,0,2009,7,3,6,24.832,15.954,6.365
22,히말라야,이석훈,씨제이이앤엠(주),1009,60173583015,7759473,드라마,0,2015,12,1,6,24.82,15.864,6.918
23,밀정,김지운,워너브러더스 코리아(주),1444,61158644831,7487545,액션,1,2016,9,4,15,24.837,15.829,7.276
24,최종병기 활,김한민,롯데쇼핑㈜롯데엔터테인먼트,615,55808856500,7466976,사극,1,2011,8,3,11,24.745,15.826,6.423
25,써니,강형철,씨제이이앤엠(주),472,53773170600,7328820,드라마,1,2011,5,2,6,24.708,15.807,6.159
26,1987,장준환,씨제이이앤엠(주),1299,58165581145,7231638,드라마,1,2017,12,1,6,24.787,15.794,7.17
27,베를린,류승완,씨제이이앤엠(주),894,52354931637,7166199,액션,1,2013,1,1,15,24.681,15.785,6.797
28,터널,김성훈,(주)쇼박스,1105,57510324417,7118592,드라마,0,2016,8,3,6,24.775,15.778,7.009
29,내부자들,우민호,(주)쇼박스,1075,56596582057,7071763,범죄,3,2015,11,4,10,24.759,15.772,6.981
30,인천상륙작전,이재한,씨제이이앤엠(주),1049,55101410303,7049643,전쟁,0,2016,7,3,17,24.732,15.768,6.957
31,럭키,이계벽,(주)쇼박스,1158,56361435256,6965706,코미디,1,2016,10,4,18,24.755,15.757,7.055
32,은밀하게 위대하게,장철수,(주)쇼박스,1341,48663939413,6953800,액션,1,2013,6,3,15,24.608,15.755,7.202
33,곡성,나홍진,이십세기폭스코리아(주),1485,55853108382,6878264,미스터리,1,2016,5,2,9,24.746,15.744,7.304
34,범죄도시,강윤성,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",1315,56077813249,6851297,범죄,3,2017,10,4,10,24.75,15.74,7.182
35,늑대소년,조성희,씨제이이앤엠(주),706,46593107500,6654837,멜로/로맨스,1,2012,10,4,7,24.565,15.711,6.561
36,군함도,류승완,씨제이이앤엠(주),2027,50510565168,6592151,액션,1,2017,7,3,15,24.645,15.701,7.615
37,백두산,"이해준,김병서","씨제이이앤엠(주),(주)덱스터스튜디오",1971,52905789770,6290502,어드벤처,0,2019,12,1,16,24.692,15.655,7.587
38,아저씨,이정범,씨제이엔터테인먼트,478,47870792359,6282774,액션,3,2010,8,3,15,24.592,15.653,6.172
39,사도,이준익,(주)쇼박스,1210,48842902501,6246849,사극,0,2015,9,4,11,24.612,15.648,7.099
40,전우치,최동훈,씨제이엔터테인먼트,606,44605437017,6136928,액션,0,2009,12,1,15,24.521,15.63,6.409
41,연평해전,김학순,(주)넥스트엔터테인먼트월드(NEW),1013,45560620330,6043458,드라마,0,2015,6,3,6,24.542,15.614,6.922
