,이경영,정인기,마동석,배성우,오달수,라미란,조진웅,김기천,한이진,오정세,영화명
154,0,0,0,0,0,0,0,0,0,0,하녀
155,0,0,0,0,1,1,0,0,0,0,박쥐
156,0,1,0,0,0,0,0,0,0,0,7광구
157,0,0,0,0,0,0,0,0,0,0,타짜: 원 아이드 잭
158,0,0,0,0,0,0,0,0,0,0,마당을 나온 암탉
159,0,0,1,0,0,0,0,0,0,0,악의 연대기
160,0,0,0,0,0,0,0,0,0,0,강남 1970
161,0,0,0,0,0,0,0,0,1,0,황해
162,0,0,0,0,0,0,0,0,0,0,초능력자
163,0,0,0,0,0,0,0,0,0,0,내 사랑 내 곁에
164,0,0,0,0,0,0,0,0,0,0,신의 한 수: 귀수편
165,0,0,0,0,0,0,0,0,0,0,마이 웨이
166,0,0,0,1,0,1,0,0,0,0,나의 사랑 나의 신부
167,0,0,1,0,0,0,0,0,0,0,굿바이 싱글
168,0,0,0,0,0,0,0,0,0,0,몽타주
169,0,0,0,0,0,0,0,0,0,0,명당
170,1,0,0,1,0,0,0,0,0,0,내부자들: 디 오리지널
171,0,0,0,0,0,0,0,0,0,1,쩨쩨한 로맨스
172,0,0,0,0,0,0,0,0,0,0,눈에는 눈 이에는 이
173,1,0,0,1,0,0,0,0,0,0,뷰티 인사이드
174,0,0,0,0,0,1,0,0,0,0,봉이 김선달
175,0,0,0,0,0,0,0,0,0,0,남자가 사랑할 때
176,0,0,0,0,0,0,0,0,0,0,협상
177,0,0,0,0,0,0,0,0,0,0,애자
178,0,0,0,0,0,0,0,0,0,0,그림자 살인
179,0,0,0,0,0,1,0,0,0,0,내안의 그놈
180,0,0,0,0,0,0,0,0,0,0,오늘의 연애
181,0,0,0,0,0,0,1,0,0,0,글러브
182,0,0,0,0,1,0,0,0,0,0,해결사
183,0,0,0,0,0,1,0,0,0,0,아이들...
184,0,0,0,0,0,0,0,0,0,0,마약왕
185,0,0,0,0,0,0,0,0,0,1,코리아
186,0,0,0,0,0,0,0,0,0,0,노무현입니다
187,0,0,0,1,0,0,0,0,0,0,집으로 가는 길
188,0,0,0,0,0,0,0,0,0,0,악마를 보았다
189,0,0,0,0,0,0,0,0,1,0,뺑반
190,0,0,0,1,0,0,0,0,0,0,변신
191,0,0,0,0,0,0,0,0,0,0,차우
192,0,0,0,0,0,0,0,0,0,0,공범
193,0,0,0,0,0,1,0,0,0,0,대호
194,0,0,0,0,0,0,0,0,0,0,전설의 주먹
195,1,0,0,0,0,0,0,0,0,0,제보자
196,0,0,0,0,0,0,0,0,0,0,러브픽션
197,0,0,0,0,0,0,0,0,0,0,평양성
198,0,0,0,1,1,0,1,0,0,0,파파로티
199,0,0,0,0,0,0,0,0,0,0,쎄시봉
200,0,0,0,0,0,0,0,0,0,0,님은 먼 곳에
201,0,0,0,0,0,0,0,0,0,0,불꽃처럼 나비처럼
202,0,0,0,0,0,1,0,0,0,0,피끓는 청춘
203,0,0,0,0,0,0,0,0,0,0,PMC: 더 벙커
204,0,0,0,0,1,1,0,0,0,0,공모자들
205,0,0,0,0,0,0,0,0,0,0,임금님의 사건수첩
206,0,0,0,0,0,0,0,0,0,0,고死 : 피의 중간고사
207,0,0,0,0,0,1,0,0,0,0,걸캅스
208,0,0,0,0,0,0,0,0,0,0,무방비도시
209,0,0,0,0,0,0,0,0,1,0,우아한 거짓말
210,0,0,0,0,0,0,0,0,0,0,하울링
211,0,0,0,0,0,0,0,0,0,0,두근두근 내 인생
212,0,0,0,0,0,0,0,0,0,0,사자
213,0,0,0,0,0,0,0,0,0,0,창궐
214,0,0,0,1,0,0,0,1,0,0,더 폰
215,0,1,1,0,0,0,0,0,0,0,성난황소
216,0,0,0,0,0,0,0,0,0,0,무적자
217,0,0,0,0,0,0,0,0,0,0,원스어폰어타임
218,0,0,0,0,0,0,1,0,0,0,용의자X
219,0,0,0,0,0,0,0,0,0,0,도어락
220,0,0,0,0,0,0,0,0,0,0,유감스러운 도시
221,0,0,0,0,0,0,0,0,0,0,작전
222,0,0,0,0,0,0,1,0,0,1,퍼펙트 게임
223,0,0,0,0,0,0,0,0,0,0,리틀 포레스트
224,0,0,0,0,0,0,0,0,0,0,더 게임
225,0,0,0,0,0,0,0,0,0,0,차이나타운
226,0,0,0,0,0,0,0,0,0,1,스윙키즈
227,0,0,1,0,0,0,0,0,0,0,부라더
228,0,1,0,0,0,0,0,0,0,0,해무(海霧)
229,0,0,0,0,0,0,0,1,0,0,나의 특별한 형제
230,0,0,0,0,0,0,0,0,0,0,탐정 홍길동: 사라진 마을
231,0,0,0,0,0,0,0,0,0,1,런닝맨
232,0,0,0,0,0,0,0,0,0,0,구르믈 버서난 달처럼
233,0,0,0,0,0,0,0,0,0,0,기억의 밤
234,0,0,0,0,0,0,0,0,0,0,골든슬럼버
235,0,0,0,0,0,0,0,0,0,0,브이아이피
236,0,0,1,0,0,1,0,0,0,0,특별시민
237,0,0,0,0,0,1,0,0,0,0,차형사
238,0,0,0,0,0,0,0,0,0,0,궁합
239,0,0,0,0,0,0,0,1,0,0,미스터 고
240,0,0,0,0,0,0,0,1,0,0,청담보살
241,0,0,0,0,0,0,0,0,0,0,사라진 밤
242,0,0,0,0,0,0,0,0,1,0,간첩
243,0,0,0,0,0,0,0,0,0,0,장산범
244,0,0,0,0,0,0,0,0,0,0,킹콩을 들다
245,0,0,0,0,0,0,0,0,0,0,간기남
246,0,0,0,0,0,0,0,0,0,0,유열의 음악앨범
247,0,0,0,0,0,1,0,0,0,0,육혈포 강도단
248,0,0,0,0,0,0,0,0,0,0,심야의 F.M.
249,0,0,0,0,0,0,0,0,0,0,특별수사: 사형수의 편지
