,Movie,Distributor,Screen,Sales,Audience,Genre,Rate,Year,Month,Season
148,화이: 괴물을 삼킨 아이,(주)쇼박스,817,17678.676795,2391.963,액션,청소년관람불가,2013,10,4
149,가문의 영광4 - 가문의 수난,(주)넥스트엔터테인먼트월드(NEW),537,17762.0355,2363.955,코미디,15세이상관람가,2011,9,4
150,블라인드,(주)넥스트엔터테인먼트월드(NEW),404,18361.4305,2362.906,스릴러,청소년관람불가,2011,8,3
151,박열,메가박스중앙(주)플러스엠,1176,18093.543794999998,2359.174,드라마,12세이상관람가,2017,6,3
152,미인도,씨제이엔터테인먼트,463,15531.621371000001,2325.715,사극,청소년관람불가,2008,11,4
153,라스트 갓파더,씨제이엔터테인먼트,547,16832.542997,2316.099,코미디,12세이상관람가,2010,12,1
154,하녀,(주)싸이더스,577,17310.669975999997,2304.487,스릴러,청소년관람불가,2010,5,2
155,박쥐,씨제이엔터테인먼트,462,15051.788827,2237.271,공포(호러),청소년관람불가,2009,4,2
156,7광구,씨제이이앤엠(주),812,19314.027,2232.179,SF,15세이상관람가,2011,8,3
157,타짜: 원 아이드 잭,롯데컬처웍스(주)롯데엔터테인먼트,1429,19673.441214,2227.671,범죄,청소년관람불가,2019,9,4
158,마당을 나온 암탉,롯데쇼핑㈜롯데엔터테인먼트,345,14656.5355,2199.048,애니메이션,전체관람가,2011,7,3
159,악의 연대기,씨제이이앤엠(주),776,17360.123332,2192.243,스릴러,15세이상관람가,2015,5,2
160,강남 1970,(주)쇼박스,841,17717.971499,2192.172,액션,청소년관람불가,2015,1,1
161,황해,"(주)쇼박스,이십세기폭스코리아(주)",618,16765.970362,2167.426,스릴러,청소년관람불가,2010,12,1
162,초능력자,(주)넥스트엔터테인먼트월드(NEW),622,15618.440958000001,2164.805,SF,15세이상관람가,2010,11,4
163,내 사랑 내 곁에,씨제이엔터테인먼트,474,15764.312409,2160.265,드라마,12세이상관람가,2009,9,4
164,신의 한 수: 귀수편,씨제이이앤엠(주),1246,18390.95505,2146.764,범죄,15세이상관람가,2019,11,4
165,마이 웨이,"에스케이플래닛(주),씨제이이앤엠(주)",645,15994.803,2142.622,전쟁,15세이상관람가,2011,12,1
166,나의 사랑 나의 신부,씨네그루(주)다우기술,629,16592.056305000002,2135.614,멜로/로맨스,15세이상관람가,2014,10,4
167,굿바이 싱글,(주)쇼박스,841,16912.706195,2108.273,코미디,15세이상관람가,2016,6,3
168,몽타주,(주)넥스트엔터테인먼트월드(NEW),540,15000.7225,2095.375,스릴러,15세이상관람가,2013,5,2
169,명당,메가박스중앙(주)플러스엠,1117,17900.775524,2087.474,사극,12세이상관람가,2018,9,4
170,내부자들: 디 오리지널,(주)쇼박스,838,16973.885275,2083.999,범죄,청소년관람불가,2015,12,1
171,쩨쩨한 로맨스,롯데쇼핑㈜롯데엔터테인먼트,463,15901.620661,2080.574,코미디,청소년관람불가,2010,12,1
172,눈에는 눈 이에는 이,롯데쇼핑㈜롯데엔터테인먼트,445,13414.0235,2058.764,범죄,15세이상관람가,2008,7,3
173,뷰티 인사이드,(주)넥스트엔터테인먼트월드(NEW),648,16152.717131,2053.947,판타지,12세이상관람가,2015,8,3
174,봉이 김선달,씨제이이앤엠(주),942,16172.133641999999,2044.564,사극,12세이상관람가,2016,7,3
175,남자가 사랑할 때,(주)넥스트엔터테인먼트월드(NEW),531,14510.2223,1979.311,멜로/로맨스,15세이상관람가,2014,1,1
176,협상,씨제이이앤엠(주),919,17032.133166,1967.721,범죄,15세이상관람가,2018,9,4
177,애자,(주)시너지하우스 (시너지),262,13785.879438999998,1922.634,드라마,15세이상관람가,2009,9,4
178,그림자 살인,씨제이엔터테인먼트,387,12805.808556,1914.779,미스터리,15세이상관람가,2009,4,2
179,내안의 그놈,"(주)메리크리스마스,TCO(주)더콘텐츠온",1041,16293.580566999999,1901.684,판타지,15세이상관람가,2019,1,1
180,오늘의 연애,씨제이이앤엠(주),709,14924.654487,1891.993,멜로/로맨스,15세이상관람가,2015,1,1
181,글러브,씨제이엔터테인먼트,605,13757.5745,1888.1,드라마,전체관람가,2011,1,1
182,해결사,"(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브",524,14063.913437000001,1873.327,액션,15세이상관람가,2010,9,4
183,아이들...,롯데쇼핑㈜롯데엔터테인먼트,504,13562.6085,1864.408,범죄,15세이상관람가,2011,2,1
184,마약왕,(주)쇼박스,1297,16222.446941999999,1864.076,범죄,청소년관람불가,2018,12,1
185,코리아,씨제이이앤엠(주),537,13334.7625,1857.392,드라마,12세이상관람가,2012,5,2
186,노무현입니다,"CGV아트하우스,영화사 풀",775,14554.935612000001,1854.867,다큐멘터리,12세이상관람가,2017,5,2
187,집으로 가는 길,씨제이이앤엠(주),740,13048.519745,1854.625,드라마,15세이상관람가,2013,12,1
188,악마를 보았다,(주)쇼박스,494,14148.937025,1848.418,스릴러,청소년관람불가,2010,8,3
189,뺑반,(주)쇼박스,1285,15222.811848,1826.714,범죄,15세이상관람가,2019,1,1
