영화명,배급사,개봉일,전국,전국,전국,장르,등급
,,,스크린수,매출액,관객수,,
미나문방구,롯데쇼핑㈜롯데엔터테인먼트,2013-05-16,385,"2,247,017,000","334,323",드라마,전체관람가
무서운 이야기,롯데쇼핑㈜롯데엔터테인먼트,2012-07-25,274,"2,452,368,566","331,760",공포(호러),청소년관람불가
희생부활자,(주)쇼박스,2017-10-12,781,"2,515,479,835","323,628",미스터리,15세이상관람가
정승필 실종사건,롯데쇼핑㈜롯데엔터테인먼트,2009-10-08,238,"2,321,588,076","322,459",코미디,15세이상관람가
도리화가,씨제이이앤엠(주),2015-11-25,563,"2,246,950,339","317,505",사극,12세이상관람가
세상에서 가장 아름다운 이별,(주)넥스트엔터테인먼트월드(NEW),2011-04-20,340,"2,295,897,500","316,788",드라마,15세이상관람가
레드카펫,(주)프레인글로벌,2014-10-23,385,"2,404,458,580","316,780",멜로/로맨스,15세이상관람가
번 더 스테이지: 더 무비,월트디즈니컴퍼니코리아 유한책임회사,2018-11-15,243,"2,671,391,900","315,010",기타,전체관람가
마이 블랙 미니드레스,씨제이이앤엠(주),2011-03-24,325,"2,318,884,500","313,953",드라마,15세이상관람가
위대한 소원,(주)넥스트엔터테인먼트월드(NEW),2016-04-21,524,"2,438,260,213","308,180",코미디,15세이상관람가
덕구,메가박스중앙(주)플러스엠,2018-04-05,544,"2,320,819,700","306,126",드라마,전체관람가
미성년,(주)쇼박스,2019-04-11,673,"2,493,769,950","293,258",드라마,15세이상관람가
호우시절,(주)넥스트엔터테인먼트월드(NEW),2009-10-08,334,"2,165,019,514","291,143",멜로/로맨스,15세이상관람가
배심원들,CGV아트하우스,2019-05-15,784,"2,303,130,090","288,113",드라마,12세이상관람가
혼숨,(주)프레인글로벌,2016-10-26,498,"2,258,422,445","288,016",공포(호러),15세이상관람가
기방도령,판씨네마(주),2019-07-10,625,"2,327,760,190","286,806",코미디,15세이상관람가
1724 기방난동사건,(주)싸이더스,2008-12-03,337,"1,886,195,121","286,657",사극,15세이상관람가
네버엔딩 스토리,(주)화앤담이엔티,2012-01-18,269,"2,106,823,000","283,449",코미디,15세이상관람가
다이노 타임,씨제이이앤엠(주),2015-04-30,430,"2,099,683,100","283,300",애니메이션,전체관람가
극장판 안녕 자두야,씨제이이앤엠(주),2016-05-04,523,"2,124,832,300","278,914",애니메이션,전체관람가
마지막 선물,(주)쇼박스,2008-02-05,263,"1,748,517,833","272,890",드라마,15세이상관람가
가루지기,(주)쇼박스,2008-04-30,311,"1,777,787,000","272,648",드라마,청소년관람불가
요가학원,(주)싸이더스,2009-08-20,251,"1,947,834,107","271,514",공포(호러),15세이상관람가
가비,(주)시네마서비스,2012-03-15,339,"1,969,360,500","270,602",드라마,15세이상관람가
롤러코스터,씨제이이앤엠(주),2013-10-17,374,"1,913,087,600","270,148",코미디,15세이상관람가
마이 뉴 파트너,(주)엠플러스픽쳐스,2008-03-06,220,"1,696,902,333","265,323",액션,15세이상관람가
악질경찰,워너브러더스 코리아(주),2019-03-20,833,"2,256,615,278","262,233",범죄,청소년관람불가
함정,(주)인벤트스톤,2015-09-10,445,"2,088,685,200","257,716",스릴러,청소년관람불가
기묘한 가족,메가박스중앙(주)플러스엠,2019-02-13,625,"2,062,904,275","256,202",코미디,12세이상관람가
밤의 여왕,(주)인벤트스톤,2013-10-17,333,"1,762,892,500","252,475",멜로/로맨스,15세이상관람가
불신지옥,(주)쇼박스,2009-08-12,237,"1,818,156,353","251,314",미스터리,15세이상관람가
비밀은 없다,씨제이이앤엠(주),2016-06-23,502,"2,027,801,239","250,650",스릴러,청소년관람불가
걸스카우트,롯데쇼핑㈜롯데엔터테인먼트,2008-06-05,257,"1,534,585,000","249,114",드라마,15세이상관람가
적과의 동침,(주)쇼박스,2011-04-27,391,"1,740,340,000","243,094",드라마,12세이상관람가
미옥,(주)키다리이엔티,2017-11-09,635,"1,897,705,564","238,587",범죄,청소년관람불가
강철대오:구국의 철가방,롯데쇼핑㈜롯데엔터테인먼트,2012-10-25,366,"1,614,867,156","233,211",코미디,15세이상관람가
어느날,"오퍼스픽쳐스(유),CGV아트하우스",2017-04-05,532,"1,827,370,582","232,016",멜로/로맨스,15세이상관람가
폐가,(주)시너지하우스 (시너지),2010-08-19,160,"1,611,889,133","229,610",공포(호러),15세이상관람가
순정,(주)리틀빅픽쳐스,2016-02-24,467,"1,643,792,033","229,059",드라마,12세이상관람가
치즈인더트랩,(주)리틀빅픽쳐스,2018-03-14,364,"1,890,873,700","229,005",멜로/로맨스,15세이상관람가
분노의 윤리학,롯데쇼핑㈜롯데엔터테인먼트,2013-02-21,302,"1,654,554,000","224,891",스릴러,청소년관람불가
마마,롯데쇼핑㈜롯데엔터테인먼트,2011-06-01,269,"1,533,830,500","222,731",드라마,12세이상관람가
우리 집에 왜 왔니,롯데쇼핑㈜롯데엔터테인먼트,2009-04-09,211,"1,427,488,305","219,962",드라마,15세이상관람가
1급기밀,(주)리틀빅픽쳐스,2018-01-24,512,"1,720,083,300","217,803",드라마,12세이상관람가
나는 공무원이다,(주)넥스트엔터테인먼트월드(NEW),2012-07-12,278,"1,535,913,500","217,493",코미디,전체관람가
속닥속닥,(주)그노스,2018-07-13,314,"1,900,914,300","217,444",공포(호러),15세이상관람가
라듸오 데이즈,(주)싸이더스,2008-01-31,254,"1,405,676,000","214,946",코미디,12세이상관람가
"대한이, 민국씨",롯데쇼핑㈜롯데엔터테인먼트,2008-02-14,174,"1,192,710,500","212,854",코미디,15세이상관람가
자칼이 온다,롯데쇼핑㈜롯데엔터테인먼트,2012-11-15,300,"1,430,079,500","210,278",코미디,15세이상관람가
덕수리 5형제,롯데쇼핑㈜롯데엔터테인먼트,2014-12-04,346,"1,560,183,200","206,953",코미디,15세이상관람가
코알라 키드 : 영웅의 탄생,롯데쇼핑㈜롯데엔터테인먼트,2012-01-12,234,"1,434,535,500","205,579",애니메이션,전체관람가
비스트,(주)넥스트엔터테인먼트월드(NEW),2019-06-26,737,"1,596,148,590","202,007",범죄,15세이상관람가
페스티발,(주)시너지하우스 (시너지),2010-11-18,233,"1,541,834,737","200,123",코미디,청소년관람불가
도레미파솔라시도,(주)시네마서비스,2008-04-03,167,"1,182,401,000","199,151",드라마,12세이상관람가
어린 의뢰인,롯데컬처웍스(주)롯데엔터테인먼트,2019-05-22,671,"1,631,919,600","198,211",드라마,12세이상관람가
언니,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2019-01-01,530,"1,746,373,250","197,134",액션,청소년관람불가
투혼,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-10-06,356,"1,336,010,500","193,724",드라마,전체관람가
언더독,(주)넥스트엔터테인먼트월드(NEW),2019-01-16,612,"1,485,934,830","193,484",애니메이션,전체관람가
응징자,(주)인벤트스톤,2013-10-30,305,"1,388,412,500","192,347",액션,청소년관람불가
런닝맨 : 풀룰루의 역습,(주)넥스트엔터테인먼트월드(NEW),2018-12-05,511,"1,414,494,750","186,324",애니메이션,전체관람가
우상,CGV아트하우스,2019-03-20,900,"1,581,839,728","183,784",스릴러,15세이상관람가
마이 리틀 히어로,씨제이이앤엠(주),2013-01-09,341,"1,286,203,128","183,650",드라마,전체관람가
아빠가 여자를 좋아해,(주)쇼박스,2010-01-14,283,"1,264,356,155","177,535",멜로/로맨스,12세이상관람가
채비,오퍼스픽쳐스(유),2017-11-09,480,"1,249,977,864","175,889",드라마,12세이상관람가
톱스타,롯데쇼핑㈜롯데엔터테인먼트,2013-10-24,397,"1,194,180,500","175,152",드라마,15세이상관람가
두번할까요,(주)리틀빅픽쳐스,2019-10-17,658,"1,449,660,120","174,938",코미디,15세이상관람가
아빠를 빌려드립니다,"메가박스중앙(주)플러스엠,(주)레드로버",2014-11-20,326,"1,188,673,500","172,445",코미디,12세이상관람가
자전차왕 엄복동,(주)셀트리온엔터테인먼트,2019-02-27,624,"1,304,861,670","172,212",드라마,12세이상관람가
그랑프리,(주)싸이더스,2010-09-16,235,"1,241,827,441","170,446",드라마,12세이상관람가
대배우,"(주)대명문화공장,(주)리틀빅픽쳐스",2016-03-30,474,"1,245,426,228","169,855",코미디,12세이상관람가
노리개,(주)인벤트스톤,2013-04-18,278,"1,229,574,500","169,054",드라마,청소년관람불가
나는 아빠다,롯데쇼핑㈜롯데엔터테인먼트,2011-04-14,300,"1,246,420,500","168,049",액션,청소년관람불가
진범,(주)리틀빅픽쳐스,2019-07-10,224,"1,424,601,000","167,333",스릴러,15세이상관람가
무법자,(주)넥스트엔터테인먼트월드(NEW),2010-03-18,192,"1,241,201,107","163,334",드라마,청소년관람불가
부산,(주)싸이더스,2009-10-15,204,"1,185,994,280","160,741",액션,청소년관람불가
최강전사 미니특공대 : 새로운 악당의 습격,에이원엔터테인먼트,2015-02-05,318,"1,163,431,200","154,342",애니메이션,전체관람가
달빛궁궐,(주)넥스트엔터테인먼트월드(NEW),2016-09-07,425,"1,134,639,700","151,360",애니메이션,전체관람가
로맨틱 아일랜드,실버스푼,2008-12-24,208,"1,002,069,212","150,401",멜로/로맨스,15세이상관람가
비정규직 특수요원,"(주)이수C&E,(주)스톰픽쳐스코리아",2017-03-16,497,"1,150,732,700","149,719",코미디,15세이상관람가
워킹걸,메가박스중앙(주)플러스엠,2015-01-07,308,"1,183,887,479","149,181",코미디,청소년관람불가
웨딩드레스,(주)싸이더스,2010-01-14,183,"1,014,636,235","146,148",드라마,전체관람가
펜트하우스 코끼리,(주)시너지하우스 (시너지),2009-11-05,240,"1,087,284,273","144,070",드라마,청소년관람불가
은밀한 유혹,씨제이이앤엠(주),2015-06-04,394,"1,112,423,247","142,405",멜로/로맨스,15세이상관람가
키친,실버스푼,2009-02-05,179,"939,320,372","142,336",멜로/로맨스,15세이상관람가
극장판 또봇: 로봇군단의 습격,씨제이이앤엠(주),2017-04-27,231,"1,089,135,300","141,592",애니메이션,전체관람가
나를 기억해,(주)키다리이엔티,2018-04-19,545,"1,227,953,892","140,849",미스터리,청소년관람불가
독전: 익스텐디드 컷,(주)넥스트엔터테인먼트월드(NEW),2018-07-18,398,"844,714,600","137,775",범죄,15세이상관람가
0.0MHz,(주)스마일이엔티,2019-05-29,446,"1,088,258,860","137,294",공포(호러),15세이상관람가
극장판 꼬마버스 타요의 에이스 구출작전,(주)아이코닉스,2016-01-21,200,"905,899,900","135,398",애니메이션,전체관람가
로마의 휴일,메가박스중앙(주)플러스엠,2017-08-30,436,"993,321,176","134,827",코미디,15세이상관람가
나의 절친 악당들,이십세기폭스코리아(주),2015-06-25,384,"1,054,470,664","133,553",범죄,청소년관람불가
오늘,롯데쇼핑㈜롯데엔터테인먼트,2011-10-27,207,"712,814,000","131,896",드라마,15세이상관람가
맨홀,롯데쇼핑㈜롯데엔터테인먼트,2014-10-08,286,"1,053,876,130","129,732",공포(호러),청소년관람불가
구세주 2,씨제이엔터테인먼트,2009-02-26,228,"838,666,517","127,226",코미디,15세이상관람가
시간위의 집,"(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",2017-04-05,454,"987,958,600","124,601",미스터리,15세이상관람가
마법천자문: 대마왕의 부활을 막아라,씨제이엔터테인먼트,2010-08-19,179,"800,649,684","123,538",애니메이션,전체관람가
퇴마: 무녀굴,씨네그루(주)다우기술,2015-08-20,331,"951,843,500","120,802",공포(호러),15세이상관람가
최강전사 미니특공대: 영웅의 탄생,(주)삼지애니메이션,2016-02-04,349,"866,704,200","115,704",애니메이션,전체관람가
배우는 배우다,(주)넥스트엔터테인먼트월드(NEW),2013-10-24,297,"811,031,000","111,927",드라마,청소년관람불가
걸프렌즈,(주)넥스트엔터테인먼트월드(NEW),2009-12-17,244,"787,235,297","109,195",멜로/로맨스,15세이상관람가
히트,(주)넥스트엔터테인먼트월드(NEW),2011-10-13,171,"771,023,500","109,019",드라마,15세이상관람가
허밍,롯데쇼핑㈜롯데엔터테인먼트,2008-03-13,167,"640,923,000","104,850",멜로/로맨스,12세이상관람가
5백만불의 사나이,씨제이이앤엠(주),2012-07-19,331,"739,789,500","104,736",코미디,15세이상관람가
꿈은 이루어진다,씨제이엔터테인먼트,2010-05-27,222,"730,581,233","103,627",코미디,15세이상관람가
크게 될 놈,(주)영화사오원,2019-04-18,447,"780,915,420","102,223",드라마,15세이상관람가
루시드 드림,(주)넥스트엔터테인먼트월드(NEW),2017-02-22,461,"759,481,000","102,170",SF,15세이상관람가
암전,TCO(주)더콘텐츠온,2019-08-15,423,"898,461,215","101,913",미스터리,15세이상관람가
바람,(주)싸이더스,2009-11-26,120,"726,321,610","101,197",드라마,청소년관람불가
게이트,(주)제이앤씨미디어그룹,2018-02-28,208,"820,756,100","101,173",범죄,15세이상관람가
돌연변이,필라멘트픽쳐스,2015-10-22,399,"748,936,684","100,543",드라마,12세이상관람가
미니특공대X,(주)삼지애니메이션,2018-03-22,458,"744,858,200","99,952",애니메이션,전체관람가
여중생A,롯데컬처웍스(주)롯데엔터테인먼트,2018-06-20,479,"811,686,000","97,849",드라마,12세이상관람가
인류멸망 보고서,"롯데쇼핑㈜롯데엔터테인먼트,타임스토리그룹(주)",2012-04-11,236,"702,418,000","97,555",SF,15세이상관람가
슈퍼 빼꼼: 스파이 대작전,메가박스중앙(주)플러스엠,2017-05-03,358,"691,794,900","97,005",애니메이션,전체관람가
천국의 우편배달부,씨제이엔터테인먼트,2009-11-12,118,"644,989,646","96,137",멜로/로맨스,전체관람가
577 프로젝트,필라멘트픽쳐스,2012-08-30,191,"695,765,500","96,079",코미디,15세이상관람가
기생령,롯데쇼핑㈜롯데엔터테인먼트,2011-08-05,207,"746,326,000","96,077",공포(호러),청소년관람불가
걷기왕,CGV아트하우스,2016-10-20,462,"710,905,075","95,542",드라마,12세이상관람가
무서운 이야기 3 : 화성에서 온 소녀,롯데쇼핑㈜롯데엔터테인먼트,2016-06-01,317,"764,967,500","95,415",공포(호러),15세이상관람가
일사각오,파이오니아21,2016-03-17,51,"682,581,500","94,767",드라마,12세이상관람가
그 남자의 책 198쪽,(주)성원아이컴,2008-10-23,220,"575,174,333","91,387",멜로/로맨스,12세이상관람가
써니 감독판,씨제이이앤엠(주),2011-07-28,54,"698,549,500","90,562",드라마,청소년관람불가
그대 이름은 장미,(주)리틀빅픽쳐스,2019-01-16,540,"735,782,970","88,054",코미디,12세이상관람가
어린 왕자,롯데쇼핑㈜롯데엔터테인먼트,2008-01-17,181,"493,292,500","84,015",드라마,12세이상관람가
터널 3D,(주)박수엔터테인먼트,2014-08-20,264,"620,874,000","80,989",공포(호러),15세이상관람가
쓰리 썸머 나잇,"(주)리틀빅픽쳐스,(주)인벤트스톤",2015-07-15,297,"616,132,846","77,621",코미디,청소년관람불가
엽기적인 그녀 2,(주)리틀빅픽쳐스,2016-05-12,387,"588,233,900","76,321",멜로/로맨스,15세이상관람가
회초리,롯데쇼핑㈜롯데엔터테인먼트,2011-05-19,142,"479,093,000","74,765",드라마,12세이상관람가
외톨이,(주)성원아이컴,2008-09-18,199,"474,493,500","74,282",공포(호러),15세이상관람가
로맨틱 헤븐,(주)시네마서비스,2011-03-24,260,"542,739,500","73,729",드라마,12세이상관람가
정글히어로,씨제이이앤엠(주),2014-10-02,287,"506,194,300","71,330",애니메이션,전체관람가
번개맨,(주)키다리이엔티,2016-02-11,393,"516,736,500","69,303",판타지,전체관람가
4교시 추리영역,롯데쇼핑㈜롯데엔터테인먼트,2009-08-12,170,"464,636,012","68,367",공포(호러),15세이상관람가
닥터,(주)마인스 엔터테인먼트,2013-06-20,163,"495,574,500","68,312",스릴러,청소년관람불가
당신이 잠든 사이에,(주)엠플러스픽쳐스,2008-08-14,164,"448,114,500","67,626",코미디,15세이상관람가
여곡성,(주)스마일이엔티,2018-11-08,212,"594,373,400","67,368",공포(호러),15세이상관람가
극장판 반지의 비밀일기,"(주)영화사 빅,(주)버킷스튜디오",2019-09-11,459,"539,843,170","67,319",애니메이션,전체관람가
주문진,롯데쇼핑㈜롯데엔터테인먼트,2010-01-21,93,"378,219,576","67,167",드라마,12세이상관람가
Mr.아이돌,"롯데쇼핑㈜롯데엔터테인먼트,(주)시너지하우스 (시너지)",2011-11-03,311,"467,982,500","67,001",드라마,12세이상관람가
올레,"(주)대명문화공장,(주)리틀빅픽쳐스",2016-08-25,338,"522,938,900","66,883",드라마,15세이상관람가
돌이킬 수 없는,㈜케이디미디어,2010-11-04,205,"472,974,485","65,414",미스터리,15세이상관람가
"사랑한다, 사랑하지 않는다",(주)넥스트엔터테인먼트월드(NEW),2011-03-03,80,"498,314,500","65,282",멜로/로맨스,15세이상관람가
뷰티풀 투모로우,씨제이 씨지브이(CJ CGV)(주),2017-10-26,47,"552,273,700","63,279",드라마,12세이상관람가
헤드,(주)에스비에스콘텐츠허브,2011-05-26,196,"462,025,000","61,414",액션,청소년관람불가
결정적 한방,(주)화앤담이엔티,2011-12-07,160,"439,400,000","60,944",코미디,15세이상관람가
두 남자,(주)키다리이엔티,2016-11-30,397,"459,566,121","60,365",범죄,청소년관람불가
번개맨과 신비의 섬,"힘컨텐츠(주),(주)디스테이션",2018-04-05,191,"481,474,700","59,923",가족,전체관람가
흑심모녀,(주)쇼박스,2008-06-12,177,"386,362,000","59,624",가족,12세이상관람가
달빛 길어올리기,"(주)쇼박스,씨제이이앤엠(주),롯데쇼핑㈜롯데엔터테인먼트",2011-03-17,128,"362,535,000","57,186",드라마,15세이상관람가
극장판 프랭키와 친구들: 생명의 나무,예지림엔터테인먼트,2016-04-13,258,"410,518,600","56,835",애니메이션,전체관람가
빅뱅 메이드,씨제이 씨지브이(CJ CGV)(주),2016-06-30,56,"464,727,700","55,227",다큐멘터리,12세이상관람가
내 눈에 콩깍지,씨제이엔터테인먼트,2009-11-05,128,"405,424,788","55,132",멜로/로맨스,12세이상관람가
잡아야 산다,오퍼스픽쳐스(유),2016-01-07,219,"410,361,400","54,450",코미디,15세이상관람가
왓칭,(주)리틀빅픽쳐스,2019-04-17,488,"456,558,262","54,410",공포(호러),15세이상관람가
머니백,(주)리틀빅픽쳐스,2018-04-12,472,"411,511,600","52,618",액션,15세이상관람가
폭풍전야,(주)성원아이컴,2010-04-01,134,"393,501,207","52,597",드라마,청소년관람불가
미안해 사랑해 고마워,(주)쇼박스,2015-10-28,344,"359,247,800","51,207",드라마,15세이상관람가
서울이 보이냐,(주)시네마서비스,2008-05-08,125,"309,567,000","50,956",가족,전체관람가
젝스키스 에이틴,씨제이 씨지브이(CJ CGV)(주),2018-01-18,25,"364,405,500","50,419",다큐멘터리,전체관람가
비밀,CGV아트하우스,2015-10-15,305,"369,339,300","50,196",미스터리,15세이상관람가
번개맨의 비밀,(주)디스테이션,2018-12-06,309,"383,521,050","49,751",가족,전체관람가
더 킥,(주)쇼박스,2011-11-03,153,"331,287,500","48,396",액션,12세이상관람가
데자뷰,(주)키다리이엔티,2018-05-30,536,"360,833,100","48,279",미스터리,15세이상관람가
잘못된 만남,토이 엔터테인먼트,2008-07-10,132,"308,898,000","47,557",드라마,15세이상관람가
목숨 건 연애,오퍼스픽쳐스(유),2016-12-14,393,"359,712,800","47,479",멜로/로맨스,15세이상관람가
뜨거운 안녕,(주)나이너스엔터테인먼트,2013-05-30,172,"315,291,000","47,105",드라마,12세이상관람가
비밥바룰라,(주)키다리이엔티,2018-01-24,347,"318,986,200","46,817",코미디,12세이상관람가
"그래, 가족",월트디즈니컴퍼니코리아 유한책임회사,2017-02-15,361,"350,293,300","46,623",코미디,12세이상관람가
된장,"씨제이엔터테인먼트,GV 엔터테인먼트",2010-10-21,112,"339,506,355","45,896",미스터리,12세이상관람가
설계,(주)팝엔터테인먼트,2014-09-18,257,"347,188,800","45,638",스릴러,청소년관람불가
미운오리새끼,롯데쇼핑㈜롯데엔터테인먼트,2012-08-30,167,"308,009,500","45,454",드라마,15세이상관람가
스페어,(주)필름더데이즈,2008-08-28,62,"299,701,000","45,290",액션,15세이상관람가
혈투,(주)싸이더스,2011-02-24,169,"329,280,000","43,947",액션,15세이상관람가
약장수,"(주)대명문화공장,(주)나이너스엔터테인먼트",2015-04-23,282,"313,238,400","43,562",드라마,15세이상관람가
극장판 뽀잉: 슈퍼 변신의 비밀,"(주)이수C&E,(주)시너지미디어",2018-09-20,294,"312,710,450","41,054",애니메이션,전체관람가
배반의 장미,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-18,457,"332,232,550","41,054",코미디,15세이상관람가
레이디버그,(주)삼지애니메이션,2017-02-22,172,"310,291,500","41,041",애니메이션,전체관람가
인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,골든타이드픽처스(주),2012-10-18,84,"412,379,000","39,577",공연,전체관람가
트릭,"(주)스톰픽쳐스코리아,(주)이수C&E",2016-07-13,390,"297,315,300","38,155",스릴러,15세이상관람가
백프로,(주)마인스 엔터테인먼트,2014-04-03,236,"275,138,600","36,792",코미디,15세이상관람가
에스엠타운 더 스테이지,주식회사 디에스이이디,2015-08-13,65,"284,650,500","35,857",다큐멘터리,전체관람가
지구대표 롤링스타즈,롯데쇼핑㈜롯데엔터테인먼트,2011-03-24,171,"230,047,000","35,578",애니메이션,전체관람가
스파키,예지림엔터테인먼트,2018-04-12,312,"257,040,200","35,436",애니메이션,전체관람가
복숭아나무,(주)넥스트엔터테인먼트월드(NEW),2012-10-31,201,"240,103,112","33,884",멜로/로맨스,15세이상관람가
I AM,씨제이이앤엠(주),2012-06-21,137,"245,580,000","32,988",다큐멘터리,전체관람가
19-Nineteen,씨제이엔터테인먼트,2009-11-12,69,"212,293,874","32,986",드라마,12세이상관람가
대결,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",2016-09-22,366,"251,176,500","32,278",액션,15세이상관람가
썬키스 패밀리,메가박스중앙(주)플러스엠,2019-03-27,417,"245,549,900","31,742",가족,15세이상관람가
꼭두각시,(주)인벤트스톤,2013-06-20,134,"227,941,500","31,713",공포(호러),청소년관람불가
날나리 종부전,롯데쇼핑㈜롯데엔터테인먼트,2008-05-22,162,"181,261,000","31,522",코미디,12세이상관람가
역모-반란의 시대,(주)스톰픽쳐스코리아,2017-11-23,355,"212,967,300","29,294",사극,15세이상관람가
비상,(주)성원아이컴,2009-12-03,160,"223,314,380","29,223",액션,청소년관람불가
캐리tv 러브콘서트 더 무비,롯데컬처웍스(주)롯데엔터테인먼트,2019-08-07,155,"225,815,700","28,679",공연,전체관람가
무림여대생,"(주)베어엔터테인먼트,(주)프라임엔터테인먼트",2008-06-26,205,"176,547,500","28,019",멜로/로맨스,15세이상관람가
인천상륙작전 : 익스텐디드 에디션(확장판),씨제이이앤엠(주),2016-09-13,122,"220,051,200","27,070",전쟁,15세이상관람가
해피 투게더,플레이리스트(주),2018-11-15,240,"204,452,450","27,046",드라마,12세이상관람가
4요일: 자살을 부르는 요일,메가픽쳐스제이씨(주),2008-12-11,131,"182,233,000","26,840",공포(호러),청소년관람불가
더 데이,롯데쇼핑㈜롯데시네마,2012-02-23,30,"192,005,000","24,163",다큐멘터리,전체관람가
GROW: 인피니트의 리얼 청춘 라이프,골든타이드픽처스(주),2014-12-04,71,"189,774,200","23,926",드라마,전체관람가
고스트 메신저 극장판,에이원엔터테인먼트,2014-05-22,81,"184,033,000","23,721",애니메이션,12세이상관람가
얼굴없는 보스,"(주)좋은 하늘,(주)박수엔터테인먼트",2019-11-21,293,"199,801,000","23,711",액션,15세이상관람가
사요나라 이츠카,씨제이엔터테인먼트,2010-04-15,31,"181,970,548","23,605",드라마,청소년관람불가
비정한 도시 감독판,(주)인벤트스톤,2012-10-25,172,"161,959,057","22,900",미스터리,청소년관람불가
"봄, 눈",(주)넥스트엔터테인먼트월드(NEW),2012-04-26,118,"143,518,000","22,870",드라마,전체관람가
히어로,(주)마인스 엔터테인먼트,2013-10-08,179,"148,940,000","22,617",가족,전체관람가
파워배틀 와치카: 와치가면의 역습,(주)삼지애니메이션,2017-06-01,246,"153,909,000","22,110",애니메이션,전체관람가
터닝메카드W: 반다인의 비밀 특별판,"(주)제이앤씨미디어그룹,(주)버킷스튜디오",2018-02-08,168,"164,797,700","21,947",애니메이션,전체관람가
히야,(주)라이크 콘텐츠,2016-03-10,124,"173,844,100","21,687",드라마,12세이상관람가
싸이보그 그녀,(주)넥스트엔터테인먼트월드(NEW),2009-05-14,112,"138,415,038","20,975",코미디,12세이상관람가
극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,메가박스중앙(주)플러스엠,2014-08-07,91,"133,926,800","20,175",애니메이션,전체관람가
완전 소중한 사랑,주식회사 마운틴픽쳐스,2013-11-21,66,"127,694,500","20,063",드라마,12세이상관람가
웨딩스캔들,(주)마인스 엔터테인먼트,2012-09-06,121,"124,977,000","19,569",코미디,15세이상관람가
방울토마토,"무비즈엔터테인먼트㈜,(주)씨네라가픽쳐스",2008-05-29,83,"115,388,000","18,533",가족,12세이상관람가
트와이스랜드,씨제이 씨지브이(CJ CGV)(주),2018-12-07,53,"153,765,000","18,252",다큐멘터리,전체관람가
하늘과 바다,롯데쇼핑㈜롯데엔터테인먼트,2009-10-28,186,"121,651,444","18,059",드라마,12세이상관람가
이별계약,씨제이이앤엠(주),2013-06-20,63,"127,495,500","17,797",멜로/로맨스,12세이상관람가
비스트 앵콜 콘서트 3D,(주)에스비에스콘텐츠허브,2012-02-29,75,"171,432,000","16,844",공연,전체관람가
극장판 샤이닝스타:새로운 루나퀸의 탄생!,(주)리틀빅픽쳐스,2019-07-18,117,"129,098,700","15,785",애니메이션,전체관람가
볼츠와 블립,씨제이이앤엠(주),2012-02-23,61,"161,329,000","15,386",애니메이션,전체관람가
무수단,오퍼스픽쳐스(유),2016-03-03,228,"112,188,400","14,386",미스터리,15세이상관람가
아티스트 봉만대,씨너스엔터테인먼트(주),2013-08-29,131,"93,817,000","14,188",코미디,청소년관람불가
귀 鬼,씨제이엔터테인먼트,2010-06-10,30,"96,385,308","13,319",공포(호러),15세이상관람가
웃는남자 감독판,(주)디지컴코리아엠앤엠,2019-11-29,18,"172,341,000","13,087",공연,전체관람가
서유기 리턴즈,(주)영화사 조제,2011-02-17,59,"80,194,000","12,696",코미디,전체관람가
타투,와이드 릴리즈(주),2015-12-10,133,"99,263,100","12,103",스릴러,청소년관람불가
맨데이트: 신이 주신 임무,메가픽쳐스제이씨(주),2008-10-30,84,"78,616,000","12,087",스릴러,청소년관람불가
검은손,(주)스톰픽쳐스코리아,2015-04-16,178,"89,815,665","11,650",공포(호러),청소년관람불가
최종병기 활 감독확장판,롯데쇼핑㈜롯데엔터테인먼트,2011-10-20,52,"86,374,000","11,547",사극,청소년관람불가
이웃집 스타,(주)스톰픽쳐스코리아,2017-09-21,256,"78,213,300","10,854",코미디,12세이상관람가
제 7기사단,메가박스중앙(주)플러스엠,2015-09-10,95,"80,160,964","10,710",액션,15세이상관람가
내 남자의 순이,(주)새인컴퍼니,2010-05-27,100,"74,274,657","10,618",코미디,15세이상관람가
슈퍼레이서 엔지,(주)에이원엔터테인먼트,2015-09-10,126,"73,587,800","10,612",애니메이션,전체관람가
샤인 어 라이트(1st 지드래곤 콘서트),(주)와이지엔터테인먼트,2010-04-15,14,"92,618,161","10,516",다큐멘터리,12세이상관람가
폴라로이드,와이드 릴리즈(주),2015-07-16,27,"65,317,000","10,094",드라마,전체관람가
신화 라이브 3D 더 레전드 컨티뉴스,골든타이드픽처스(주),2014-12-11,29,"114,524,000","9,817",공연,전체관람가
메이크 유어 무브,씨제이이앤엠(주),2014-04-17,96,"73,741,600","9,368",멜로/로맨스,12세이상관람가
불타는 내 마음,씨제이 씨지브이(CJ CGV)(주),2010-03-25,34,"70,470,428","9,236",코미디,15세이상관람가
노트르담 드 파리,(주)패뷸러스,2017-11-01,36,"107,289,500","8,350",뮤지컬,전체관람가
