영화명,배급사,개봉일,전국,전국,전국,장르,등급
,,,스크린수,매출액,관객수,,
돈,(주)쇼박스,2019-03-20,"1,431","28,869,614,062","3,389,035",범죄,15세이상관람가
포화속으로,롯데쇼핑㈜롯데엔터테인먼트,2010-06-16,736,"24,217,600,897","3,385,706",드라마,12세이상관람가
악인전,"(주)에이스메이커무비웍스,(주)키위미디어그룹",2019-05-15,"1,307","29,128,292,150","3,364,079",범죄,청소년관람불가
아이 캔 스피크,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-09-21,"1,140","25,532,214,986","3,280,243",코미디,12세이상관람가
마녀,워너브러더스 코리아(주),2018-06-27,"1,117","27,242,029,463","3,189,091",미스터리,15세이상관람가
탐정: 리턴즈,씨제이이앤엠(주),2018-06-13,"1,041","26,865,721,678","3,148,038",코미디,15세이상관람가
퀵,씨제이이앤엠(주),2011-07-20,512,"22,960,890,000","3,125,069",코미디,15세이상관람가
감기,아이러브시네마,2013-08-14,806,"21,784,202,000","3,119,023",드라마,15세이상관람가
하모니,씨제이엔터테인먼트,2010-01-28,405,"21,992,266,198","3,068,544",드라마,12세이상관람가
거북이 달린다,(주)쇼박스,2009-06-11,379,"20,857,347,292","3,059,812",드라마,15세이상관람가
스물,(주)넥스트엔터테인먼트월드(NEW),2015-03-25,926,"23,558,988,686","3,044,134",코미디,15세이상관람가
방자전,씨제이엔터테인먼트,2010-06-02,512,"22,853,629,794","3,035,116",사극,청소년관람불가
마더,씨제이엔터테인먼트,2009-05-28,648,"20,195,373,838","3,013,523",드라마,청소년관람불가
오싹한 연애,씨제이이앤엠(주),2011-12-01,469,"21,965,313,000","3,001,530",공포(호러),12세이상관람가
형,씨제이이앤엠(주),2016-11-23,993,"23,113,768,293","2,979,659",코미디,12세이상관람가
친구 2,롯데쇼핑㈜롯데엔터테인먼트,2013-11-14,968,"21,804,687,513","2,971,475",액션,청소년관람불가
26년,"(주)인벤트스톤,영화사청어람(주)",2012-11-29,604,"21,241,327,145","2,963,449",액션,15세이상관람가
